departamento,codigo_departamento,municipio,codigo_municipio,poblacion,fecha,eventos,Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2020-03-15,1,2020-03-15,1,1,0,0
SACATEPEQUEZ,3,SAN LUCAS SACATEPEQUEZ,308,28445,2020-03-21,1,2020-03-21,2,9,0,1
EL PROGRESO,2,SAN AGUSTIN ACASAGUASTLAN,203,54588,2020-04-15,1,2020-04-15,11,167,0,5
CHIMALTENANGO,4,PATZUN,407,69560,2020-04-15,1,2020-04-15,11,167,0,5
EL PROGRESO,2,EL JICARO,205,13508,2020-04-16,1,2020-04-16,13,180,0,5
CHIMALTENANGO,4,PATZUN,407,69560,2020-04-17,1,2020-04-17,16,196,0,5
GUATEMALA,1,FRAIJANES,113,61664,2020-04-17,1,2020-04-17,16,196,0,5
ESCUINTLA,5,ESCUINTLA,501,166078,2020-04-18,1,2020-04-18,18,214,2,7
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2020-04-20,1,2020-04-20,22,257,0,7
SACATEPEQUEZ,3,SAN BARTOLOME MILPAS ALTAS,307,8519,2020-04-21,1,2020-04-21,32,289,0,7
GUATEMALA,1,GUATEMALA,101,1205668,2020-04-23,1,2020-04-23,22,316,0,8
GUATEMALA,1,GUATEMALA,101,1205668,2020-04-25,1,2020-04-25,42,384,1,11
TOTONICAPAN,8,TOTONICAPAN,801,117483,2020-04-25,1,2020-04-25,42,384,1,11
SUCHITEPEQUEZ,10,SAN ANTONIO SUCHITEPEQUEZ,1010,64441,2020-04-25,1,2020-04-25,42,384,1,11
ZACAPA,19,ZACAPA,1901,65730,2020-04-25,1,2020-04-25,42,384,1,11
GUATEMALA,1,VILLA NUEVA,115,464528,2020-04-28,1,2020-04-28,27,500,0,15
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-13,1,2020-05-13,62,1114,0,26
GUATEMALA,1,MIXCO,108,494561,2020-05-13,1,2020-05-13,62,1114,0,26
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-14,1,2020-05-14,85,1199,1,27
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-14,1,2020-05-14,85,1199,1,27
GUATEMALA,1,MIXCO,108,494561,2020-05-14,1,2020-05-14,85,1199,1,27
CHIQUIMULA,20,CHIQUIMULA,2001,117014,2020-05-14,1,2020-05-14,85,1199,1,27
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-15,2,2020-05-15,143,1342,2,29
PETEN,17,FLORES,1701,43067,2020-05-15,1,2020-05-15,143,1342,2,29
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-16,1,2020-05-16,176,1518,0,29
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,2020-05-16,1,2020-05-16,176,1518,0,29
SUCHITEPEQUEZ,10,MAZATENANGO,1001,83448,2020-05-16,1,2020-05-16,176,1518,0,29
SAN MARCOS,12,MALACATAN,1215,108134,2020-05-16,1,2020-05-16,176,1518,0,29
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-17,4,2020-05-17,125,1643,1,30
ESCUINTLA,5,ESCUINTLA,501,166078,2020-05-17,1,2020-05-17,125,1643,1,30
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-05-17,1,2020-05-17,125,1643,1,30
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-18,5,2020-05-18,120,1763,3,33
SAN MARCOS,12,MALACATAN,1215,108134,2020-05-18,1,2020-05-18,120,1763,3,33
SOLOLA,7,SANTA CATARINA IXTAHUACAN,706,60200,2020-05-18,1,2020-05-18,120,1763,3,33
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-19,3,2020-05-19,149,1912,2,35
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-19,1,2020-05-19,149,1912,2,35
GUATEMALA,1,MIXCO,108,494561,2020-05-19,1,2020-05-19,149,1912,2,35
SUCHITEPEQUEZ,10,MAZATENANGO,1001,83448,2020-05-19,1,2020-05-19,149,1912,2,35
SAN MARCOS,12,MALACATAN,1215,108134,2020-05-19,2,2020-05-19,149,1912,2,35
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-20,4,2020-05-20,89,2001,3,38
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2020-05-20,1,2020-05-20,89,2001,3,38
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-20,2,2020-05-20,89,2001,3,38
GUATEMALA,1,MIXCO,108,494561,2020-05-20,1,2020-05-20,89,2001,3,38
CHIMALTENANGO,4,TECPAN GUATEMALA,406,108893,2020-05-20,1,2020-05-20,89,2001,3,38
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-21,3,2020-05-21,132,2133,5,43
GUATEMALA,1,MIXCO,108,494561,2020-05-21,2,2020-05-21,132,2133,5,43
SAN MARCOS,12,MALACATAN,1215,108134,2020-05-21,2,2020-05-21,132,2133,5,43
GUATEMALA,1,AMATITLAN,114,147604,2020-05-21,1,2020-05-21,132,2133,5,43
GUATEMALA,1,SAN JUAN SACATEPEQUEZ,110,276836,2020-05-21,1,2020-05-21,132,2133,5,43
SACATEPEQUEZ,3,SUMPANGO,304,45249,2020-05-21,1,2020-05-21,132,2133,5,43
QUETZALTENANGO,9,ALMOLONGA,913,16679,2020-05-21,1,2020-05-21,132,2133,5,43
BAJA VERAPAZ,15,CUBULCO,1504,59496,2020-05-21,1,2020-05-21,132,2133,5,43
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-22,3,2020-05-22,132,2265,2,45
GUATEMALA,1,MIXCO,108,494561,2020-05-22,1,2020-05-22,132,2265,2,45
GUATEMALA,1,VILLA CANALES,116,165026,2020-05-22,2,2020-05-22,132,2265,2,45
GUATEMALA,1,CHINAUTLA,106,121721,2020-05-22,1,2020-05-22,132,2265,2,45
SACATEPEQUEZ,3,SANTA LUCIA MILPAS ALTAS,309,17116,2020-05-22,1,2020-05-22,132,2265,2,45
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-23,3,2020-05-23,247,2512,3,48
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-23,1,2020-05-23,247,2512,3,48
GUATEMALA,1,VILLA CANALES,116,165026,2020-05-23,1,2020-05-23,247,2512,3,48
SACATEPEQUEZ,3,SANTIAGO SACATEPEQUEZ,306,36409,2020-05-23,1,2020-05-23,247,2512,3,48
SACATEPEQUEZ,3,SANTO DOMINGO XENACOJ,305,14121,2020-05-23,1,2020-05-23,247,2512,3,48
SUCHITEPEQUEZ,10,CHICACAO,1013,67994,2020-05-23,1,2020-05-23,247,2512,3,48
SUCHITEPEQUEZ,10,PUEBLO NUEVO SUCHITEPEQUEZ,1019,11980,2020-05-23,1,2020-05-23,247,2512,3,48
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2020-05-24,1,2020-05-24,231,2743,5,53
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-24,9,2020-05-24,231,2743,5,53
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-24,1,2020-05-24,231,2743,5,53
GUATEMALA,1,MIXCO,108,494561,2020-05-24,2,2020-05-24,231,2743,5,53
GUATEMALA,1,AMATITLAN,114,147604,2020-05-24,1,2020-05-24,231,2743,5,53
GUATEMALA,1,CHINAUTLA,106,121721,2020-05-24,1,2020-05-24,231,2743,5,53
RETALHULEU,11,RETALHULEU,1101,108405,2020-05-24,1,2020-05-24,231,2743,5,53
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-25,9,2020-05-25,311,3054,4,57
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-25,1,2020-05-25,311,3054,4,57
GUATEMALA,1,VILLA CANALES,116,165026,2020-05-25,1,2020-05-25,311,3054,4,57
ESCUINTLA,5,MASAGUA,505,47441,2020-05-25,1,2020-05-25,311,3054,4,57
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-26,4,2020-05-26,370,3424,1,58
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-26,1,2020-05-26,370,3424,1,58
GUATEMALA,1,MIXCO,108,494561,2020-05-26,2,2020-05-26,370,3424,1,58
CHIMALTENANGO,4,TECPAN GUATEMALA,406,108893,2020-05-26,1,2020-05-26,370,3424,1,58
GUATEMALA,1,PALENCIA,105,73811,2020-05-26,1,2020-05-26,370,3424,1,58
SACATEPEQUEZ,3,SANTA MARIA DE JESUS,311,26472,2020-05-26,1,2020-05-26,370,3424,1,58
SOLOLA,7,SANTIAGO ATITLAN,719,44025,2020-05-26,1,2020-05-26,370,3424,1,58
SUCHITEPEQUEZ,10,SAN GABRIEL,1012,7945,2020-05-26,1,2020-05-26,370,3424,1,58
QUICHE,14,CHINIQUE,1403,13294,2020-05-26,1,2020-05-26,370,3424,1,58
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-27,1,2020-05-27,336,3760,1,59
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-27,1,2020-05-27,336,3760,1,59
GUATEMALA,1,MIXCO,108,494561,2020-05-27,2,2020-05-27,336,3760,1,59
SAN MARCOS,12,MALACATAN,1215,108134,2020-05-27,1,2020-05-27,336,3760,1,59
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-05-27,1,2020-05-27,336,3760,1,59
SACATEPEQUEZ,3,SANTIAGO SACATEPEQUEZ,306,36409,2020-05-27,2,2020-05-27,336,3760,1,59
RETALHULEU,11,RETALHULEU,1101,108405,2020-05-27,1,2020-05-27,336,3760,1,59
SANTA ROSA,6,NUEVA SANTA ROSA,614,38981,2020-05-27,1,2020-05-27,336,3760,1,59
SANTA ROSA,6,SANTA CRUZ NARANJO,612,17569,2020-05-27,1,2020-05-27,336,3760,1,59
QUETZALTENANGO,9,EL PALMAR,919,30973,2020-05-27,1,2020-05-27,336,3760,1,59
SAN MARCOS,12,NUEVO PROGRESO,1212,31500,2020-05-27,1,2020-05-27,336,3760,1,59
QUICHE,14,CHICHICASTENANGO,1406,148943,2020-05-27,1,2020-05-27,336,3760,1,59
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-28,9,2020-05-28,194,3954,4,63
TOTONICAPAN,8,TOTONICAPAN,801,117483,2020-05-28,1,2020-05-28,194,3954,4,63
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-28,1,2020-05-28,194,3954,4,63
GUATEMALA,1,MIXCO,108,494561,2020-05-28,1,2020-05-28,194,3954,4,63
SAN MARCOS,12,NUEVO PROGRESO,1212,31500,2020-05-28,1,2020-05-28,194,3954,4,63
SANTA ROSA,6,CHIQUIMULILLA,608,63897,2020-05-28,1,2020-05-28,194,3954,4,63
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-29,9,2020-05-29,191,4145,5,68
ESCUINTLA,5,ESCUINTLA,501,166078,2020-05-29,1,2020-05-29,191,4145,5,68
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-29,1,2020-05-29,191,4145,5,68
GUATEMALA,1,MIXCO,108,494561,2020-05-29,4,2020-05-29,191,4145,5,68
GUATEMALA,1,VILLA CANALES,116,165026,2020-05-29,1,2020-05-29,191,4145,5,68
IZABAL,18,PUERTO BARRIOS,1801,109753,2020-05-29,1,2020-05-29,191,4145,5,68
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,2020-05-29,1,2020-05-29,191,4145,5,68
SAN MARCOS,12,MALACATAN,1215,108134,2020-05-29,1,2020-05-29,191,4145,5,68
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-05-29,1,2020-05-29,191,4145,5,68
CHIMALTENANGO,4,TECPAN GUATEMALA,406,108893,2020-05-29,1,2020-05-29,191,4145,5,68
GUATEMALA,1,CHINAUTLA,106,121721,2020-05-29,1,2020-05-29,191,4145,5,68
RETALHULEU,11,SAN FELIPE,1105,26191,2020-05-29,1,2020-05-29,191,4145,5,68
SAN MARCOS,12,SAN MARCOS,1201,48644,2020-05-29,1,2020-05-29,191,4145,5,68
BAJA VERAPAZ,15,RABINAL,1503,45937,2020-05-29,1,2020-05-29,191,4145,5,68
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-30,4,2020-05-30,203,4348,12,80
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2020-05-30,1,2020-05-30,203,4348,12,80
GUATEMALA,1,MIXCO,108,494561,2020-05-30,1,2020-05-30,203,4348,12,80
GUATEMALA,1,VILLA CANALES,116,165026,2020-05-30,1,2020-05-30,203,4348,12,80
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-05-30,1,2020-05-30,203,4348,12,80
GUATEMALA,1,AMATITLAN,114,147604,2020-05-30,1,2020-05-30,203,4348,12,80
SOLOLA,7,SANTIAGO ATITLAN,719,44025,2020-05-30,1,2020-05-30,203,4348,12,80
GUATEMALA,1,SAN PEDRO AYAMPUC,107,65594,2020-05-30,1,2020-05-30,203,4348,12,80
HUEHUETENANGO,13,CUILCO,1304,65178,2020-05-30,1,2020-05-30,203,4348,12,80
GUATEMALA,1,GUATEMALA,101,1205668,2020-05-31,7,2020-05-31,259,4607,10,90
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2020-05-31,1,2020-05-31,259,4607,10,90
GUATEMALA,1,VILLA NUEVA,115,464528,2020-05-31,2,2020-05-31,259,4607,10,90
GUATEMALA,1,MIXCO,108,494561,2020-05-31,4,2020-05-31,259,4607,10,90
SANTA ROSA,6,NUEVA SANTA ROSA,614,38981,2020-05-31,1,2020-05-31,259,4607,10,90
ESCUINTLA,5,LA DEMOCRACIA,503,25479,2020-05-31,1,2020-05-31,259,4607,10,90
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-13,9,2020-06-13,340,8561,18,334
ESCUINTLA,5,PALIN,511,70118,2020-06-13,1,2020-06-13,340,8561,18,334
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-13,2,2020-06-13,340,8561,18,334
GUATEMALA,1,MIXCO,108,494561,2020-06-13,4,2020-06-13,340,8561,18,334
GUATEMALA,1,VILLA CANALES,116,165026,2020-06-13,2,2020-06-13,340,8561,18,334
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-06-13,3,2020-06-13,340,8561,18,334
RETALHULEU,11,RETALHULEU,1101,108405,2020-06-13,1,2020-06-13,340,8561,18,334
GUATEMALA,1,SANTA CATARINA PINULA,102,86150,2020-06-13,1,2020-06-13,340,8561,18,334
SANTA ROSA,6,PUEBLO NUEVO VIÑAS,613,29285,2020-06-13,1,2020-06-13,340,8561,18,334
RETALHULEU,11,EL ASINTAL,1109,42601,2020-06-13,1,2020-06-13,340,8561,18,334
IZABAL,18,LIVINGSTON,1802,79360,2020-06-13,1,2020-06-13,340,8561,18,334
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2020-06-14,1,2020-06-14,421,8982,17,351
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-14,13,2020-06-14,421,8982,17,351
GUATEMALA,1,FRAIJANES,113,61664,2020-06-14,1,2020-06-14,421,8982,17,351
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2020-06-14,1,2020-06-14,421,8982,17,351
ZACAPA,19,ZACAPA,1901,65730,2020-06-14,1,2020-06-14,421,8982,17,351
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-14,2,2020-06-14,421,8982,17,351
GUATEMALA,1,MIXCO,108,494561,2020-06-14,4,2020-06-14,421,8982,17,351
ESCUINTLA,5,SANTA LUCIA COTZUMALGUAPA,502,123979,2020-06-14,1,2020-06-14,421,8982,17,351
GUATEMALA,1,VILLA CANALES,116,165026,2020-06-14,1,2020-06-14,421,8982,17,351
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-06-14,1,2020-06-14,421,8982,17,351
QUETZALTENANGO,9,ALMOLONGA,913,16679,2020-06-14,1,2020-06-14,421,8982,17,351
GUATEMALA,1,SANTA CATARINA PINULA,102,86150,2020-06-14,1,2020-06-14,421,8982,17,351
CHIMALTENANGO,4,CHIMALTENANGO,401,112778,2020-06-14,1,2020-06-14,421,8982,17,351
GUATEMALA,1,SAN JOSE PINULA,103,87912,2020-06-14,2,2020-06-14,421,8982,17,351
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-15,17,2020-06-15,509,9491,16,367
ESCUINTLA,5,PALIN,511,70118,2020-06-15,1,2020-06-15,509,9491,16,367
ESCUINTLA,5,ESCUINTLA,501,166078,2020-06-15,1,2020-06-15,509,9491,16,367
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-15,6,2020-06-15,509,9491,16,367
GUATEMALA,1,MIXCO,108,494561,2020-06-15,2,2020-06-15,509,9491,16,367
ESCUINTLA,5,SANTA LUCIA COTZUMALGUAPA,502,123979,2020-06-15,1,2020-06-15,509,9491,16,367
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-06-15,1,2020-06-15,509,9491,16,367
CHIMALTENANGO,4,TECPAN GUATEMALA,406,108893,2020-06-15,1,2020-06-15,509,9491,16,367
GUATEMALA,1,SANTA CATARINA PINULA,102,86150,2020-06-15,1,2020-06-15,509,9491,16,367
CHIMALTENANGO,4,CHIMALTENANGO,401,112778,2020-06-15,2,2020-06-15,509,9491,16,367
SAN MARCOS,12,CATARINA,1216,32104,2020-06-15,1,2020-06-15,509,9491,16,367
EL PROGRESO,2,SANARATE,207,41997,2020-06-15,1,2020-06-15,509,9491,16,367
SANTA ROSA,6,BARBERENA,602,60376,2020-06-15,1,2020-06-15,509,9491,16,367
SAN MARCOS,12,SAN PABLO,1219,51253,2020-06-15,1,2020-06-15,509,9491,16,367
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-16,15,2020-06-16,354,9845,17,384
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-16,8,2020-06-16,354,9845,17,384
GUATEMALA,1,MIXCO,108,494561,2020-06-16,4,2020-06-16,354,9845,17,384
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,2020-06-16,1,2020-06-16,354,9845,17,384
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-06-16,3,2020-06-16,354,9845,17,384
GUATEMALA,1,AMATITLAN,114,147604,2020-06-16,1,2020-06-16,354,9845,17,384
QUETZALTENANGO,9,ALMOLONGA,913,16679,2020-06-16,1,2020-06-16,354,9845,17,384
SAN MARCOS,12,SAN MARCOS,1201,48644,2020-06-16,1,2020-06-16,354,9845,17,384
SOLOLA,7,SOLOLA,701,98886,2020-06-16,1,2020-06-16,354,9845,17,384
EL PROGRESO,2,GUASTATOYA,201,27001,2020-06-16,1,2020-06-16,354,9845,17,384
SACATEPEQUEZ,3,SAN MIGUEL DUEÑAS,313,15231,2020-06-16,1,2020-06-16,354,9845,17,384
ESCUINTLA,5,PUERTO DE SAN JOSE,509,66314,2020-06-16,1,2020-06-16,354,9845,17,384
SAN MARCOS,12,TAJUMULCO,1209,62329,2020-06-16,1,2020-06-16,354,9845,17,384
HUEHUETENANGO,13,CHIANTLA,1302,91954,2020-06-16,1,2020-06-16,354,9845,17,384
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-17,9,2020-06-17,427,10272,15,399
ESCUINTLA,5,PALIN,511,70118,2020-06-17,1,2020-06-17,427,10272,15,399
ESCUINTLA,5,ESCUINTLA,501,166078,2020-06-17,1,2020-06-17,427,10272,15,399
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-17,5,2020-06-17,427,10272,15,399
GUATEMALA,1,MIXCO,108,494561,2020-06-17,4,2020-06-17,427,10272,15,399
ESCUINTLA,5,SANTA LUCIA COTZUMALGUAPA,502,123979,2020-06-17,2,2020-06-17,427,10272,15,399
QUETZALTENANGO,9,ALMOLONGA,913,16679,2020-06-17,1,2020-06-17,427,10272,15,399
GUATEMALA,1,CHINAUTLA,106,121721,2020-06-17,1,2020-06-17,427,10272,15,399
QUICHE,14,CHINIQUE,1403,13294,2020-06-17,1,2020-06-17,427,10272,15,399
SAN MARCOS,12,OCOS,1218,12573,2020-06-17,1,2020-06-17,427,10272,15,399
QUETZALTENANGO,9,SAN JUAN OSTUNCALCO,909,60791,2020-06-17,1,2020-06-17,427,10272,15,399
RETALHULEU,11,SAN ANDRES VILLA SECA,1106,55133,2020-06-17,1,2020-06-17,427,10272,15,399
PETEN,17,SAN BENITO,1703,52439,2020-06-17,1,2020-06-17,427,10272,15,399
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2020-06-18,1,2020-06-18,434,10706,19,418
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-18,21,2020-06-18,434,10706,19,418
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2020-06-18,1,2020-06-18,434,10706,19,418
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-18,9,2020-06-18,434,10706,19,418
GUATEMALA,1,MIXCO,108,494561,2020-06-18,2,2020-06-18,434,10706,19,418
ESCUINTLA,5,SANTA LUCIA COTZUMALGUAPA,502,123979,2020-06-18,1,2020-06-18,434,10706,19,418
GUATEMALA,1,VILLA CANALES,116,165026,2020-06-18,2,2020-06-18,434,10706,19,418
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,2020-06-18,1,2020-06-18,434,10706,19,418
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-06-18,1,2020-06-18,434,10706,19,418
GUATEMALA,1,AMATITLAN,114,147604,2020-06-18,1,2020-06-18,434,10706,19,418
GUATEMALA,1,SAN JUAN SACATEPEQUEZ,110,276836,2020-06-18,1,2020-06-18,434,10706,19,418
QUETZALTENANGO,9,ALMOLONGA,913,16679,2020-06-18,2,2020-06-18,434,10706,19,418
SOLOLA,7,SANTIAGO ATITLAN,719,44025,2020-06-18,1,2020-06-18,434,10706,19,418
SACATEPEQUEZ,3,PASTORES,303,19389,2020-06-18,1,2020-06-18,434,10706,19,418
SAN MARCOS,12,LA BLANCA,1230,33764,2020-06-18,1,2020-06-18,434,10706,19,418
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-19,7,2020-06-19,545,11251,14,432
ESCUINTLA,5,PALIN,511,70118,2020-06-19,1,2020-06-19,545,11251,14,432
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-19,5,2020-06-19,545,11251,14,432
GUATEMALA,1,MIXCO,108,494561,2020-06-19,3,2020-06-19,545,11251,14,432
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,2020-06-19,2,2020-06-19,545,11251,14,432
SANTA ROSA,6,CHIQUIMULILLA,608,63897,2020-06-19,1,2020-06-19,545,11251,14,432
GUATEMALA,1,SANTA CATARINA PINULA,102,86150,2020-06-19,1,2020-06-19,545,11251,14,432
CHIMALTENANGO,4,CHIMALTENANGO,401,112778,2020-06-19,1,2020-06-19,545,11251,14,432
SACATEPEQUEZ,3,SAN ANTONIO AGUAS CALIENTES,315,12438,2020-06-19,1,2020-06-19,545,11251,14,432
ZACAPA,19,RIO HONDO,1903,23030,2020-06-19,2,2020-06-19,545,11251,14,432
JALAPA,21,MATAQUESCUINTLA,2107,45870,2020-06-19,1,2020-06-19,545,11251,14,432
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-20,14,2020-06-20,617,11868,17,449
ESCUINTLA,5,ESCUINTLA,501,166078,2020-06-20,1,2020-06-20,617,11868,17,449
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-20,2,2020-06-20,617,11868,17,449
GUATEMALA,1,VILLA CANALES,116,165026,2020-06-20,1,2020-06-20,617,11868,17,449
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,2020-06-20,1,2020-06-20,617,11868,17,449
GUATEMALA,1,CHINAUTLA,106,121721,2020-06-20,3,2020-06-20,617,11868,17,449
GUATEMALA,1,SANTA CATARINA PINULA,102,86150,2020-06-20,2,2020-06-20,617,11868,17,449
TOTONICAPAN,8,SAN FRANCISCO EL ALTO,803,64224,2020-06-20,1,2020-06-20,617,11868,17,449
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-21,13,2020-06-21,641,12509,34,483
EL PROGRESO,2,SAN AGUSTIN ACASAGUASTLAN,203,54588,2020-06-21,1,2020-06-21,641,12509,34,483
ESCUINTLA,5,ESCUINTLA,501,166078,2020-06-21,3,2020-06-21,641,12509,34,483
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2020-06-21,1,2020-06-21,641,12509,34,483
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-21,8,2020-06-21,641,12509,34,483
GUATEMALA,1,MIXCO,108,494561,2020-06-21,8,2020-06-21,641,12509,34,483
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-06-21,2,2020-06-21,641,12509,34,483
CHIMALTENANGO,4,CHIMALTENANGO,401,112778,2020-06-21,1,2020-06-21,641,12509,34,483
SAN MARCOS,12,OCOS,1218,12573,2020-06-21,1,2020-06-21,641,12509,34,483
QUETZALTENANGO,9,COATEPEQUE,920,117579,2020-06-21,1,2020-06-21,641,12509,34,483
SAN MARCOS,12,AYUTLA,1217,45434,2020-06-21,1,2020-06-21,641,12509,34,483
ESCUINTLA,5,PUERTO DE SAN JOSE,509,66314,2020-06-21,1,2020-06-21,641,12509,34,483
ZACAPA,19,RIO HONDO,1903,23030,2020-06-21,1,2020-06-21,641,12509,34,483
SACATEPEQUEZ,3,JOCOTENANGO,302,23160,2020-06-21,1,2020-06-21,641,12509,34,483
CHIMALTENANGO,4,ACATENANGO,411,28043,2020-06-21,1,2020-06-21,641,12509,34,483
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-22,9,2020-06-22,246,12755,31,514
ESCUINTLA,5,ESCUINTLA,501,166078,2020-06-22,3,2020-06-22,246,12755,31,514
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-22,8,2020-06-22,246,12755,31,514
GUATEMALA,1,MIXCO,108,494561,2020-06-22,2,2020-06-22,246,12755,31,514
ESCUINTLA,5,SANTA LUCIA COTZUMALGUAPA,502,123979,2020-06-22,2,2020-06-22,246,12755,31,514
SAN MARCOS,12,MALACATAN,1215,108134,2020-06-22,1,2020-06-22,246,12755,31,514
SACATEPEQUEZ,3,SANTO DOMINGO XENACOJ,305,14121,2020-06-22,1,2020-06-22,246,12755,31,514
GUATEMALA,1,PALENCIA,105,73811,2020-06-22,1,2020-06-22,246,12755,31,514
EL PROGRESO,2,SAN ANTONIO LA PAZ,208,22012,2020-06-22,1,2020-06-22,246,12755,31,514
CHIMALTENANGO,4,SAN ANDRES ITZAPA,413,34591,2020-06-22,1,2020-06-22,246,12755,31,514
ESCUINTLA,5,PUERTO DE SAN JOSE,509,66314,2020-06-22,1,2020-06-22,246,12755,31,514
SAN MARCOS,12,LA BLANCA,1230,33764,2020-06-22,1,2020-06-22,246,12755,31,514
CHIMALTENANGO,4,PARRAMOS,414,19693,2020-06-22,1,2020-06-22,246,12755,31,514
SAN MARCOS,12,COMITANCILLO,1204,79867,2020-06-22,1,2020-06-22,246,12755,31,514
QUICHE,14,CHICAMAN,1419,42342,2020-06-22,1,2020-06-22,246,12755,31,514
ALTA VERAPAZ,16,COBAN,1601,224109,2020-06-22,1,2020-06-22,246,12755,31,514
GUATEMALA,1,GUATEMALA,101,1205668,2020-06-23,14,2020-06-23,390,13145,17,531
ESCUINTLA,5,ESCUINTLA,501,166078,2020-06-23,2,2020-06-23,390,13145,17,531
GUATEMALA,1,VILLA NUEVA,115,464528,2020-06-23,2,2020-06-23,390,13145,17,531
GUATEMALA,1,MIXCO,108,494561,2020-06-23,3,2020-06-23,390,13145,17,531
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,2020-06-23,3,2020-06-23,390,13145,17,531
GUATEMALA,1,SAN MIGUEL PETAPA,117,145417,2020-06-23,1,2020-06-23,390,13145,17,531
GUATEMALA,1,AMATITLAN,114,147604,2020-06-23,2,2020-06-23,390,13145,17,531
